Kernel Performance Report
=========================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         1.84%       2.137ms        10.80%      12.535ms     272.509us       0.000us         0.00%      77.912ms       1.694ms           0 b           0 b       1.37 Gb    -154.25 Mb            46  
                                      aten::convolution         0.08%      97.682us         3.29%       3.819ms     141.445us       0.000us         0.00%      40.134ms       1.486ms           0 b           0 b     787.87 Mb           0 b            27  
                                     aten::_convolution         1.86%       2.159ms         3.20%       3.721ms     137.827us       0.000us         0.00%      40.134ms       1.486ms           0 b           0 b     787.87 Mb    -240.22 Mb            27  
                                              aten::add         0.07%      75.620us         0.10%     121.560us      17.366us      27.491ms        24.35%      27.491ms       3.927ms           0 b           0 b     263.67 Mb     263.67 Mb             7  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      27.491ms        24.35%      27.491ms       3.927ms           0 b           0 b           0 b           0 b             7  
                                              aten::sum         0.09%     109.850us         0.13%     153.710us      25.618us      23.729ms        21.01%      23.729ms       3.955ms           0 b           0 b      47.11 Mb      47.11 Mb             6  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      20.626ms        18.27%      20.626ms      20.626ms           0 b           0 b           0 b           0 b             1  
                                aten::cudnn_convolution         0.56%     650.568us         0.77%     896.382us      33.199us      18.039ms        15.97%      18.039ms     668.107us           0 b           0 b     787.87 Mb     787.87 Mb            27  
                                            aten::copy_         0.28%     325.592us         0.59%     684.135us      12.217us      16.355ms        14.48%      16.355ms     292.059us           0 b           0 b           0 b           0 b            56  
                                             aten::add_         0.18%     204.524us         0.31%     364.875us      13.514us      14.541ms        12.88%      14.541ms     538.543us           0 b           0 b           0 b           0 b            27  
