Kernel Performance Report
=========================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Torch-Compiled Region: 0/0         4.68%       1.610ms         6.75%       2.323ms       2.323ms      32.293ms        99.51%      32.612ms      32.612ms           0 b           0 b             1  
sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      12.170ms        37.50%      12.170ms     869.282us           0 b           0 b            14  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x64x...         0.00%       0.000us         0.00%       0.000us       0.000us       3.251ms        10.02%       3.251ms     295.511us           0 b           0 b            11  
                triton_poi_fused__to_copy_convolution_4         0.00%       0.000us         0.00%       0.000us       0.000us       2.149ms         6.62%       2.149ms       2.149ms           0 b           0 b             1  
      triton_poi_fused__to_copy_add_convolution_silu_15         0.00%       0.000us         0.00%       0.000us       0.000us       1.770ms         5.45%       1.770ms     884.846us           0 b           0 b             2  
                              triton_poi_fused_stack_11         0.00%       0.000us         0.00%       0.000us       0.000us       1.769ms         5.45%       1.769ms     353.829us           0 b           0 b             5  
      triton_poi_fused__to_copy_add_convolution_silu_14         0.00%       0.000us         0.00%       0.000us       0.000us       1.549ms         4.77%       1.549ms     516.265us           0 b           0 b             3  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.521ms         4.69%       1.521ms       1.521ms           0 b           0 b             1  
          triton_poi_fused__to_copy_convolution_silu_13         0.00%       0.000us         0.00%       0.000us       0.000us       1.516ms         4.67%       1.516ms     252.586us           0 b           0 b             6  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.384ms         4.27%       1.384ms       1.384ms           0 b           0 b             1  
           triton_poi_fused__to_copy_convolution_silu_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.257ms         3.87%       1.257ms       1.257ms           0 b           0 b             1  
          triton_poi_fused__softmax__to_copy_mul_sum_12         0.00%       0.000us         0.00%       0.000us       0.000us       1.052ms         3.24%       1.052ms       1.052ms           0 b           0 b             1  
                 triton_poi_fused_pixel_shuffle_silu_18         0.00%       0.000us         0.00%       0.000us       0.000us       1.031ms         3.18%       1.031ms       1.031ms           0 b           0 b             1  
                             triton_per_fused_mul_sum_9         0.00%       0.000us         0.00%       0.000us       0.000us     787.038us         2.43%     787.038us     787.038us           0 b           0 b             1  
      triton_poi_fused__to_copy_add_convolution_silu_16         0.00%       0.000us         0.00%       0.000us       0.000us     633.438us         1.95%     633.438us     633.438us           0 b           0 b             1  
                                   aten::_foreach_copy_         0.24%      83.360us         1.37%     469.874us     469.874us     159.552us         0.49%     319.104us     319.104us           0 b           0 b             1  
triton_poi_fused__to_copy_add_clamp_convolution_pixe...         0.00%       0.000us         0.00%       0.000us       0.000us     161.088us         0.50%     161.088us     161.088us           0 b           0 b             1  
                                           Unrecognized         0.89%     304.943us         0.89%     304.943us     304.943us     159.552us         0.49%     159.552us     159.552us           0 b           0 b             1  
