Kernel Performance Report
=========================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.41%     692.036us         6.48%      10.811ms     400.393us       0.000us         0.00%      79.018ms       2.927ms           0 b           0 b       1.53 Gb           0 b            27  
                                      aten::convolution         0.08%     125.101us         6.07%      10.119ms     374.762us       0.000us         0.00%      79.018ms       2.927ms           0 b           0 b       1.53 Gb           0 b            27  
                                     aten::_convolution         2.44%       4.062ms         5.99%       9.993ms     370.129us       0.000us         0.00%      79.018ms       2.927ms           0 b           0 b       1.53 Gb    -477.25 Mb            27  
                                aten::cudnn_convolution         0.46%     761.235us         0.67%       1.119ms      41.435us      51.198ms        32.03%      51.198ms       1.896ms           0 b           0 b       1.53 Gb       1.53 Gb            27  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      48.045ms        30.05%      48.045ms       1.413ms           0 b           0 b           0 b           0 b            34  
                                              aten::add         0.04%      69.262us         0.06%     105.752us      15.107us      28.966ms        18.12%      28.966ms       4.138ms           0 b           0 b     263.67 Mb     263.67 Mb             7  
                                              aten::sum         0.05%      88.202us         0.08%     130.404us      21.734us      23.755ms        14.86%      23.755ms       3.959ms           0 b           0 b      46.58 Mb      46.58 Mb             6  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      23.755ms        14.86%      23.755ms       3.959ms           0 b           0 b           0 b           0 b             6  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      23.322ms        14.59%      23.322ms       1.794ms           0 b           0 b           0 b           0 b            13  
                                             aten::add_         0.13%     219.603us         0.22%     367.723us      13.619us      19.080ms        11.93%      19.080ms     706.666us           0 b           0 b           0 b           0 b            27  
